eclipse/capella-xhtml-docgen	XHTML Documentation Generation AddOn provides output HTML files for Capella model	public	2023-07-18T15:32:30Z
eclipse/gmf-notation	GMF notation repository	public	2023-07-14T11:22:35Z
eclipse/paho.mqtt.python	paho.mqtt.python	public	2023-07-11T16:23:13Z
eclipse/jemo	Jemo project source code	public	2023-07-08T06:40:40Z
eclipse/keti	Eclipse Keti is a service that was designed to protect RESTfuls API using Attribute Based Access Control (ABAC).	public	2023-07-06T23:51:26Z
eclipse/gemoc-studio-commons		public	2023-07-05T10:11:02Z
eclipse/gemoc-studio-execution-java	Gemoc studio execution java	public	2023-07-05T10:10:11Z
eclipse/gemoc-studio-execution-ale	Gemoc studio execution ale	public	2023-07-05T10:09:59Z
eclipse/keyple-card-generic-java-lib	Eclipse Keyple™ Project: add-on library to operate generic smartcard solution (based on the Calypso Terminal Card API) / for end users	public	2023-06-30T15:46:45Z
eclipse/org.eclipse.rap.incubator.e4.compatibility.workbench	rap incubator e4 compatibility workbench	public	2023-06-28T08:39:49Z
eclipse/keyple-service-cpp-lib	Eclipse Keyple™ Project - C++ implementation: main service API for end users	public	2023-06-22T21:01:53Z
eclipse/keyple-util-cpp-lib	keyple-util-cpp-lib	public	2023-06-22T20:32:25Z
eclipse/keyple-service-resource-cpp-lib	keyple-service-resource-cpp-lib	public	2023-06-22T20:31:41Z
eclipse/keyple-plugin-stub-cpp-lib	keyple-plugin-stub-cpp-lib	public	2023-06-22T20:30:51Z
eclipse/keyple-plugin-pcsc-cpp-lib	keyple-plugin-pcsc-cpp-lib	public	2023-06-22T20:30:28Z
eclipse/keyple-plugin-cpp-api	Eclipse Keyple™ Project - C++ implementation: API for plugin developers	public	2023-06-22T20:29:45Z
eclipse/org.eclipse.emf.diffmerge.core		public	2023-06-22T08:17:04Z
eclipse/keyple-card-calypso-cpp-lib	keyple-card-calypso-cpp-lib	public	2023-06-22T03:16:54Z
eclipse/keyple-card-generic-cpp-lib	keyple-card-generic-cpp-lib	public	2023-06-22T03:15:52Z
eclipse/keyple-common-cpp-api	keyple-common-cpp-api	public	2023-06-22T03:15:49Z
eclipse/lyo.oslc-ui		public	2023-06-21T10:11:18Z
eclipse/lyo.testsuite	Lyo project repository (lyo.testsuite)	public	2023-06-21T10:10:55Z
eclipse/keyple-cpp-meta	keyple-cpp-meta	public	2023-06-19T20:40:06Z
eclipse/keyple-plugin-pcsc-java-lib	Eclipse Keyple™ Project: PC/SC plugin lib for end users	public	2023-06-16T08:24:41Z
eclipse/collections-website		public	2023-06-14T14:56:00Z
eclipse/shellwax		public	2023-06-12T16:22:23Z
eclipse/keyple-plugin-stub-java-lib	Eclipse Keyple™ Project: stub plugin API for end users	public	2023-06-06T10:04:59Z
eclipse/keyple-plugin-android-omapi-java-lib	Eclipse Keyple™ Project: Android OMAPI plugin API for end users	public	2023-06-06T10:02:52Z
eclipse/keyple-plugin-android-nfc-java-lib	Eclipse Keyple™ Project: Android NFC plugin library for end users	public	2023-06-06T10:02:04Z
eclipse/keyple-plugin-cardresource-java-lib	Eclipse Keyple™ Project: Card Resource plugin lib for end users	public	2023-06-06T09:52:01Z
eclipse/keyple-plugin-java-api	Eclipse Keyple™ Project - Java implementation: API for plugin developers	public	2023-06-06T09:51:27Z
eclipse/keyple-common-java-api	Eclipse Keyple™ Project: common API for all modules	public	2023-06-06T09:42:25Z
eclipse/keyple-cpp-example	Eclipse Keyple™ Project: use case examples of the Keyple C++ components for end users	public	2023-06-05T21:28:43Z
eclipse/sisu.inject	Sisu Inject	public	2023-06-03T23:49:32Z
eclipse/eclipsefuro	Eclipse Furo offers simple, enterprise-tailored, language-independent API development. It comes with multiple sources of truth and generates border-crossing type and service definitions.	public	2023-06-02T08:41:15Z
eclipse/ecf-website		public	2023-05-29T22:32:30Z
